id,date,prix,ville,nombre_lots,lot1_surface1,lot2_surface1,lot3_surface1,lot4_surface1,lot5_surface1,type,surface2,nombre_pieces,nature_culture,surface_terrain
336,2017-01-17,85000.0,D,1,10.25,,,,,Dépendance,,0.0,,
337,2016-08-01,215000.0,C,1,22.2,,,,,Appartement,28.0,1.0,,
338,2016-06-30,58000.0,D,1,,,,,,Dépendance,,0.0,,
339,2018-05-04,647840.0,D,6,51.2,,,,,Appartement,80.0,3.0,,
340,2015-07-06,573800.0,D,1,,,,,,Dépendance,,0.0,,
341,2017-08-10,25000.0,B,1,21.66,,,,,Appartement,21.0,1.0,,
342,2017-05-05,168000.0,B,0,,,,,,Maison,75.0,4.0,sols,300.0
343,2018-05-22,113000.0,B,0,,,,,,Maison,47.0,3.0,sols,389.0
344,2018-09-06,420000.0,D,1,39.2,,,,,Appartement,48.0,2.0,,
345,2015-07-10,50000.0,C,2,18.0,,,,,Appartement,18.0,1.0,,
346,2018-12-04,505000.0,D,2,48.05,,,,,Appartement,48.0,2.0,,
347,2017-04-13,75000.0,B,2,,61.95,,,,Appartement,62.0,3.0,,
348,2017-11-20,44100.0,A,0,,,,,,Maison,123.0,6.0,sols,896.0
349,2017-05-29,55000.0,D,1,,,,,,Dépendance,,0.0,,
350,2018-01-06,170000.0,B,0,,,,,,Maison,99.0,4.0,sols,216.0
351,2018-12-15,50000.0,B,1,34.49,,,,,Appartement,31.0,2.0,,
352,2018-10-17,45000.0,D,1,,,,,,Dépendance,,0.0,,
353,2017-08-01,470000.0,D,2,,,,,,Appartement,53.0,2.0,,
354,2017-12-29,27000.0,D,1,,,,,,Dépendance,,0.0,,
355,2018-07-30,40000.0,B,1,25.72,,,,,Appartement,33.0,2.0,,
356,2018-05-12,61000.0,B,2,,48.01,,,,Appartement,48.0,2.0,,
357,2018-10-30,55000.0,B,1,55.17,,,,,Appartement,47.0,2.0,,
358,2018-06-11,472439.0,D,2,46.9,,,,,Appartement,46.0,2.0,,
359,2019-09-04,45000.0,D,1,,,,,,Dépendance,,0.0,,
360,2016-03-08,55000.0,D,1,,,,,,Dépendance,,0.0,,
361,2016-06-22,365000.0,D,2,53.61,,,,,Appartement,52.0,3.0,,
362,2017-12-07,107000.0,C,1,9.75,,,,,Dépendance,,0.0,,
363,2016-07-15,168000.0,B,0,,,,,,Maison,93.0,5.0,sols,460.0
364,2018-03-19,103000.0,D,1,11.87,,,,,Dépendance,,0.0,,
365,2017-09-25,45000.0,B,1,26.25,,,,,Appartement,24.0,1.0,,
366,2016-03-10,763200.0,D,2,,59.43,,,,Appartement,56.0,2.0,,
367,2018-07-04,26000.0,D,1,,,,,,Dépendance,,0.0,,
368,2017-02-02,9300.0,D,1,,,,,,Appartement,22.0,2.0,,
369,2018-12-26,50398.29,D,2,,,,,,Appartement,80.0,3.0,,
370,2016-02-06,105000.0,B,2,99.96,,,,,Appartement,105.0,4.0,,
371,2016-06-02,195000.0,B,2,,115.78,,,,Appartement,125.0,5.0,,
372,2018-04-17,107000.0,A,0,,,,,,Maison,66.0,4.0,sols,618.0
373,2018-09-19,105000.0,D,1,,,,,,Dépendance,,0.0,,
374,2015-12-08,935000.0,D,1,105.27,,,,,Appartement,110.0,4.0,,
375,2016-07-20,825600.0,D,2,100.55,,,,,Appartement,102.0,3.0,,
376,2016-02-04,350000.0,D,1,38.82,,,,,Appartement,39.0,3.0,,
